Well,528/20,590/20
A1,1284
B1,2882
C1,5823
D1,1433
E1,2109
F1,3464
G1,1306
H1,1289
A2,1319
B2,6848
C2,14272
D2,1416
E2,2311
F2,5063
G2,1300
H2,1189
A3,1362
B3,2855
C3,6024
D3,1428
E3,2473
F3,2608
G3,1428
H3,1217
A4,10
B4,6
C4,6
D4,1
E4,2
F4,375
G4,1
H4,18
A5,1384
B5,4319
C5,9103
D5,2
E5,1
F5,1
G5,7
H5,0
A6,1421
B6,6797
C6,15161
D6,0
E6,1
F6,4
G6,32
H6,4
A7,1341
B7,3116
C7,6476
D7,1
E7,1
F7,4
G7,3
H7,15
A8,32
B8,0
C8,0
D8,3
E8,0
F8,0
G8,2
H8,1
A9,1373
B9,3038
C9,6515
D9,1
E9,0
F9,2
G9,5
H9,2
A10,1372
B10,3857
C10,8593
D10,1
E10,0
F10,1
G10,6
H10,1
A11,1376
B11,3247
C11,7259
D11,0
E11,1
F11,1
G11,1
H11,2
A12,1333
B12,3036
C12,5323
D12,0
E12,0
F12,1
G12,2
H12,2

