Well,528/20,590/20
A1,948
B1,6474
C1,15311
D1,1021
E1,3018
F1,4592
G1,943
H1,1
A2,975
B2,4651
C2,8845
D2,1045
E2,6457
F2,10318
G2,999
H2,3
A3,974
B3,3417
C3,5470
D3,1034
E3,3252
F3,4720
G3,1
H3,2
A4,985
B4,8847
C4,14777
D4,1
E4,0
F4,2
G4,958
H4,3
A5,1021
B5,10527
C5,19286
D5,1
E5,1
F5,1
G5,1086
H5,1
A6,992
B6,12344
C6,19436
D6,2
E6,1
F6,0
G6,2
H6,0
A7,994
B7,8105
C7,11516
D7,0
E7,1
F7,0
G7,1010
H7,2
A8,985
B8,4134
C8,5986
D8,1
E8,1
F8,1
G8,1058
H8,2
A9,1007
B9,3064
C9,4207
D9,1
E9,1
F9,1
G9,1
H9,2
A10,987
B10,5393
C10,8906
D10,1
E10,1
F10,1
G10,1
H10,1
A11,991
B11,6178
C11,10512
D11,0
E11,0
F11,0
G11,1
H11,1
A12,950
B12,4072
C12,6720
D12,0
E12,0
F12,1
G12,2
H12,0

