Well,528/20,590/20
A1,711
B1,2260
C1,4702
D1,807
E1,1975
F1,4325
G1,725
H1,1
A2,764
B2,3377
C2,7005
D2,825
E2,1866
F2,4342
G2,790
H2,1
A3,723
B3,1514
C3,2676
D3,818
E3,1948
F3,3974
G3,797
H3,0
A4,760
B4,1560
C4,2970
D4,1
E4,3
F4,4
G4,784
H4,1
A5,783
B5,3295
C5,6950
D5,3
E5,3
F5,2
G5,865
H5,2
A6,708
B6,1805
C6,3430
D6,1
E6,2
F6,3
G6,897
H6,1
A7,750
B7,2333
C7,5062
D7,2
E7,1
F7,3
G7,2
H7,2
A8,774
B8,846
C8,841
D8,2
E8,2
F8,3
G8,1
H8,2
A9,747
B9,1467
C9,2847
D9,1
E9,1
F9,1
G9,1
H9,2
A10,726
B10,1639
C10,3086
D10,2
E10,3
F10,2
G10,1
H10,1
A11,783
B11,2182
C11,4734
D11,3
E11,4
F11,2
G11,2
H11,1
A12,709
B12,1656
C12,2814
D12,2
E12,0
F12,2
G12,1
H12,0

